"","Date","Close.Last","Volume","Open","High","Low","diff","norm"
"588","10/12/2019",182.58,"N/A",182.84,182.77,178.89,3.88000000000002,0.00673503438733576
"589","10/11/2019",182.68,"N/A",190.2,183.76,180.6,3.16,0.00527001180157084
"590","10/10/2019",190.1,"N/A",192.17,191.64,188.87,2.76999999999998,0.00447645790094817
"591","10/09/2019",191.75,"N/A",180.64,193.68,191.34,2.34,0.00360151385667198
"592","10/08/2019",180.5,"N/A",184.41,181.97,180.49,1.47999999999999,0.00185162576811947
"593","10/07/2019",184.08,"N/A",169.93,184.51,179.73,4.78,0.00856631261954179
"594","10/06/2019",174.19,"N/A",176.2,176.87,174.05,2.81999999999999,0.0045781955805152
"595","10/05/2019",175.33,"N/A",175.7,176.87,174.62,2.25,0.00341838603345136
"596","10/04/2019",174.89,"N/A",173.2,175.86,174.75,1.11000000000001,0.00109876693932369
"597","10/03/2019",173.16,"N/A",179.43,174.77,172.27,2.5,0.00392707443128639
"598","10/02/2019",179.42,"N/A",176.36,180.57,178.86,1.70999999999998,0.00231961909412767
"599","10/01/2019",176.66,"N/A",181.13,177.41,174.69,2.72,0.0043747202213812
"600","09/30/2019",181.05,"N/A",169.65,181.07,178,3.06999999999999,0.00508688397835022
"601","09/29/2019",168.75,"N/A",173.05,169.9,168.3,1.59999999999999,0.00209579619908029
"602","09/28/2019",172.46,"N/A",174.54,174.43,172.27,2.16,0.00323525821023075
"603","09/27/2019",174.36,"N/A",163.89,174.44,172.67,1.77000000000001,0.00244170430960814
"604","09/26/2019",163.44,"N/A",168.15,165.17,162.89,2.28,0.00347942864119157
"605","09/25/2019",167.27,"N/A",172.41,169.14,166.9,2.23999999999998,0.00339803849753792
"606","09/24/2019",172.85,"N/A",201.73,174.26,166.1,8.16,0.0154437797582713
"607","09/23/2019",201.54,"N/A",209.18,202.97,200.02,2.94999999999999,0.0048427135473894
"608","09/22/2019",209.16,"N/A",211.45,211.76,208.52,3.23999999999998,0.00543279208887801
"609","09/21/2019",211.03,"N/A",219.38,215.64,209.74,5.89999999999998,0.0108452366418426
"610","09/20/2019",219.94,"N/A",216.51,221.17,217.43,3.73999999999998,0.00645016888454806
"611","09/19/2019",218.62,"N/A",208.43,221.27,217.28,3.99000000000001,0.00695885728238314
"612","09/18/2019",207.53,"N/A",211.75,210.45,205.88,4.56999999999999,0.00813901436536036
"613","09/17/2019",210.9,"N/A",198.12,212.23,207.69,4.53999999999999,0.00807797175762015
"614","09/16/2019",197.05,"N/A",194.32,198.63,196.97,1.66,0.0022178814145607
"615","09/15/2019",194.3,"N/A",187.59,194.34,189.09,5.25,0.00952264680747163
"616","09/14/2019",187.89,"N/A",180.45,190.23,187.54,2.69,0.004313677613641
"617","09/13/2019",180.92,"N/A",180.29,181.41,180.36,1.04999999999998,0.000976681723843222
"618","09/12/2019",180.47,"N/A",178.04,181.53,180.12,1.41,0.00170919301672568
"619","09/11/2019",177.71,"N/A",180.17,178.95,177.48,1.47,0.00183127823220609
"620","09/10/2019",180.17,"N/A",182.98,182.27,179.85,2.42000000000002,0.00376429414397921
"621","09/09/2019",182.47,"N/A",180.04,184.76,176.25,8.50999999999999,0.0161559435152403
"622","09/08/2019",180.47,"N/A",178.34,181.57,180.19,1.38,0.00164815040898548
"623","09/07/2019",178.59,"N/A",169.26,179.36,177.76,1.60000000000002,0.00209579619908035
"624","09/06/2019",169.37,"N/A",174.48,169.53,168.42,1.11000000000001,0.00109876693932369
"625","09/05/2019",173.92,"N/A",174.3,174.2,173.08,1.11999999999998,0.00111911447523701
"626","09/04/2019",173.85,"N/A",177.95,174.83,173.77,1.06,0.000997029259756663
